size,len,tfreq,tvol,cfreq
0.3,0.3942,1000000,5,8000000
0.4,0.5192,1000000,5,8000000
0.5,0.6442,1000000,5,8000000
0.6,0.7692,1000000,5,8000000
0.7,0.8942,1000000,5,8000000
0.8,1.0192,1000000,5,8000000
0.9,1.1442,1000000,5,8000000
1,1.2692,1000000,5,8000000
1.1,1.3942,1000000,5,8000000
1.2,1.5192,1000000,5,8000000
1.3,1.6442,1000000,5,4000000
1.4,1.7692,1000000,5,4000000
1.5,1.69225,1000000,5,4000000
1.6,1.80405,1000000,5,4000000
1.7,1.91585,1000000,24,4000000
1.8,2.02765,1000000,24,4000000
1.9,2.13945,1000000,24,4000000
2,2.25125,1000000,24,4000000
